sentence,condition,correct,sent_identifier,index,original_index,item_id,avg_dist_use
He would be easy to manage.,low,0.7647058823529411,torontoadv.6.019513,low.02186,torontoadv.349018,2186,0.9288826
He was giving them full employment.,low,0.8048780487804879,cocaspok1993.6.008853,low.02187,cocaspok1993.0121950,2187,0.9400248
And getting better all the time.,low,0.8095238095238095,cornellmov.6.019018,low.02188,cornellmov.0111012,2188,0.93259144
They are usually easy to access.,low,0.696969696969697,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.013573,low.02189,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00363393,2189,0.95779634
Some groups also hold suspension performances.,low,0.6779661016949152,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.141838,low.02190,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03793389,2190,0.97288376
Everyone had been working so hard.,low,0.6515151515151515,torontomyst.6.034786,low.02191,torontomyst.493019,2191,0.9305438
Evelyn pained expression focused on me.,low,0.6376811594202898,torontomyst.6.055620,low.02192,torontomyst.774149,2192,0.91932505
He'd give you a flippant answer.,low,0.8148148148148148,torontofantasy.6.331350,low.02193,torontofantasy.4334790,2193,0.9079401
Give them perspective on their relationship.,low,0.7142857142857143,torontoadv.6.053318,low.02194,torontoadv.895319,2194,0.94509363
We're still asking folks to leave.,low,0.7346938775510204,cocaspok2005.6.002313,low.02195,cocaspok2005.0040563,2195,0.91445893
Yet the outcome can be unpredictable.,low,0.66,wsj.6.000723,low.02196,wsj.132603,2196,0.96629375
Their apps on a daily basis.,low,0.7142857142857143,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.134941,low.02197,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03677081,2197,0.97253084
You will never leave our minds.,low,0.6857142857142857,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.018413,low.02198,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00499317,2198,0.9432871
We get the attention we desire.,low,0.8620689655172413,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.093801,low.02199,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02533874,2199,0.94384295
My skin felt smooth and clean.,low,0.8888888888888888,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.178598,low.02200,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04856489,2200,0.9530178
So give unselfishly and receive abundantly.,low,0.8333333333333334,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.084139,low.02201,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02250619,2201,0.95390433
Of course we were all concerned.,low,0.6949152542372882,torontomyst.6.139158,low.02202,torontomyst.1804703,2202,0.96592367
"Well, give a couple of minutes...",low,0.631578947368421,cornellmov.6.006351,low.02203,cornellmov.0036107,2203,0.92908067
We are concerned with higher matters.,low,0.6666666666666666,torontofantasy.6.090934,low.02204,torontofantasy.1340894,2204,0.9746494
I excused myself to the restroom.,low,0.8135593220338984,torontofantasy.6.080331,low.02205,torontofantasy.1185920,2205,0.92160857
We constantly improve update our content.,low,0.7837837837837838,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.060449,low.02206,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01633462,2206,0.9819125
It's not going to be easy.,low,0.6493506493506493,cocaspok1998.6.009453,low.02207,cocaspok1998.0124555,2207,0.9199888
And I struggle to walk properly.,low,0.8958333333333334,torontoadv.6.002056,low.02208,torontoadv.40386,2208,0.9322558
Your leg must be getting better.,low,0.8095238095238095,cornellmov.6.007140,low.02209,cornellmov.0040902,2209,0.90776324
I was feeling a little better.,low,0.6923076923076923,torontomyst.6.030545,low.02210,torontomyst.436181,2210,0.9081313
Select the best suitable company offering.,low,0.7115384615384616,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.034717,low.02211,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00937098,2211,0.9936683
She's kind of afraid of people.,low,0.825,cocaspok1990.6.007033,low.02212,cocaspok1990.0126080,2212,0.9142544
"Larry, you just take it easy.",low,0.8157894736842105,cornellmov.6.008779,low.02213,cornellmov.0050333,2213,0.9212061
We are concerned here -- let's focus.,low,0.7586206896551724,cocaspok1997.6.008226,low.02214,cocaspok1997.0096742,2214,0.96137774
Are you afraid of growing competition?,low,0.8387096774193549,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.055137,low.02215,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01499799,2215,0.9538447
But everything is also getting better.,low,0.734375,cornellmov.6.017951,low.02216,cornellmov.0103867,2216,0.94014484
Thank you for a thoughtful piece.,low,0.8,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.077439,low.02217,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02087054,2217,0.92761254
Then you'd better start believing me.,low,0.6282051282051282,cornellmov.6.001998,low.02218,cornellmov.0011270,2218,0.9318297
Give the best first impression possible.,low,0.75,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.030781,low.02219,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00829665,2219,0.9560231
Give her a couple of hours.,low,0.7051282051282052,cornellmov.6.029211,low.02220,cornellmov.0176798,2220,0.9213681
"Then they're not separated, are they?",low,0.8208955223880597,cornellmov.6.012071,low.02221,cornellmov.0068601,2221,0.9400561
His expression clearly showed his confusion.,low,0.6923076923076923,torontoadv.6.047485,low.02222,torontoadv.798840,2222,0.9444011
Sort of low to medium heat.,low,0.7733333333333333,cocaspok2002.6.006468,low.02223,cocaspok2002.0098285,2223,0.9526574
I wanted you to be real.,low,0.7215189873417721,cornellmov.6.019777,low.02224,cornellmov.0115744,2224,0.94622
"For instance, to, too, and two.",low,0.96,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.100688,low.02225,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02705189,2225,0.9999854
Unless he'd been afraid they'd know.,low,0.5974025974025974,torontofantasy.6.101660,low.02226,torontofantasy.1471134,2226,0.9379927
"Another, better moment would present itself.",low,0.6842105263157895,torontofantasy.6.244962,low.02227,torontofantasy.3250020,2227,0.93767524
We should keep our expectations low.,low,0.6739130434782609,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.060033,low.02228,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01626703,2228,0.94614613
"To give her some space, but...",low,0.7333333333333333,torontofantasy.6.449201,low.02229,torontofantasy.5839980,2229,0.9181204
For a moment the room spun.,low,0.7875,torontomyst.6.009114,low.02230,torontomyst.125516,2230,0.933885
Give her some of your strength.,low,0.7435897435897436,torontofantasy.6.410970,low.02231,torontofantasy.5384610,2231,0.92287195
Students must have good communication skills.,low,0.8493150684931506,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.081791,low.02232,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02229645,2232,0.95685
"Indeed, nothing worth having comes easy.",low,0.72,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.115152,low.02233,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03115754,2233,0.94099385
But isn't quick weight loss dangerous?,low,0.9591836734693876,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.085528,low.02234,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02314684,2234,0.95476085
You must have been very proud.,low,0.71875,cornellmov.6.015205,low.02235,cornellmov.0086658,2235,0.93338275
I could barely focus or function.,low,0.7611940298507462,torontofantasy.6.312367,low.02236,torontofantasy.4100015,2236,0.95007634
His dreams were growing more powerful.,low,0.7945205479452054,torontofantasy.6.340970,low.02237,torontofantasy.4491098,2237,0.93152124
I must insist you try some.,low,0.691358024691358,cornellmov.6.016479,low.02238,cornellmov.0094502,2238,0.9203128
We want to make it better.,low,0.5555555555555556,cocaspok2006.6.008827,low.02239,cocaspok2006.0135524,2239,0.9418508
But you just made strong statements.,low,0.6582278481012658,cocaspok1990.6.003363,low.02240,cocaspok1990.0050883,2240,0.9512299
You are very easy to understand.,low,0.7368421052631579,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.081053,low.02241,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02166890,2241,0.96793884
A danger that was nearly tangible.,low,0.62,torontofantasy.6.302818,low.02242,torontofantasy.3964312,2242,0.9397651
Still there are plenty of critics.,low,0.7258064516129032,wsj.6.001328,low.02243,wsj.243956,2243,0.91488075
Some individuals prefer utilizing thoughts maps.,low,0.8363636363636363,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.029939,low.02244,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00804228,2244,0.97109824
That's already been taken care of.,low,0.759493670886076,cornellmov.6.031419,low.02245,cornellmov.0190708,2245,0.935297
"Arrogant, sometimes ruthless people, but still.",low,0.7530864197530864,torontofantasy.6.300400,low.02246,torontofantasy.3937471,2246,0.9421369
There were signs of a struggle.,low,0.7283950617283951,torontomyst.6.147489,low.02247,torontomyst.1902458,2247,0.92331517
"""It'll give you nightmares,"" he advised.",low,0.7875,torontofantasy.6.347853,low.02248,torontofantasy.4572412,2248,0.9170111
But still it wasn't nearly enough.,low,0.5573770491803278,wsj.6.001648,low.02249,wsj.301245,2249,0.942253
I couldn't hold back any longer.,low,0.6538461538461539,torontofantasy.6.284559,low.02250,torontofantasy.3702658,2250,0.918087
"I feel his presence, so strong...",low,0.8360655737704918,cornellmov.6.024522,low.02251,cornellmov.0146526,2251,0.915008
There were still several familiar faces.,low,0.68,torontofantasy.6.187906,low.02252,torontofantasy.2551732,2252,0.9419219
Some have done some remarkable things.,low,0.8,cocaspok2003.6.004445,low.02253,cocaspok2003.0070939,2253,0.96159583
Create amazing logos quick and easily.,low,0.9166666666666666,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.136477,low.02254,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03696776,2254,0.9842363
You still had to prove yourself.,low,0.5901639344262295,cornellmov.6.025919,low.02255,cornellmov.0155477,2255,0.9282014
Such features make dramatic selling points.,low,0.7727272727272727,wsj.6.002644,low.02256,wsj.479456,2256,0.9610987
They better be ready for me.,low,0.7468354430379747,torontofantasy.6.363149,low.02257,torontofantasy.4751957,2257,0.9303875
"A single mind, a single focus.",low,0.7402597402597403,torontomyst.6.047539,low.02258,torontomyst.667855,2258,0.94822526
Disbelief only better served its purpose.,low,0.6363636363636364,torontoadv.6.022294,low.02259,torontoadv.395853,2259,0.9401152
Allow the battery to recharge overnight.,low,0.8333333333333334,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.077850,low.02260,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02086783,2260,0.97250843
"Strong wind, freezing rain and snow.",low,0.8028169014084507,cocaspok2011.6.009063,low.02261,cocaspok2011.0115228,2261,0.97041005
Have you drawn all your life?,low,0.8235294117647058,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.001170,low.02262,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00032296,2262,0.92006314
Even the beast seemed less afraid.,low,0.7692307692307693,torontofantasy.6.052863,low.02263,torontofantasy.769064,2263,0.9358619
Five of those are critically wounded.,low,0.7777777777777778,cocaspok2002.6.004096,low.02264,cocaspok2002.0064868,2264,0.9412095
It is round and relatively small.,low,0.8133333333333334,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.017346,low.02265,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00463689,2265,0.95503193
Getting to your session is easy.,low,0.78,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.126846,low.02266,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03425111,2266,0.94476885
His policies are out of touch.,low,0.6623376623376623,cocaspok2012.6.003493,low.02267,cocaspok2012.042683,2267,0.94448143
"I'm not afraid of failure, no.",low,0.7142857142857143,cocaspok2011.6.006075,low.02268,cocaspok2011.0076762,2268,0.93729293
Had he calculated correctly for once?,low,0.7592592592592593,torontomyst.6.098967,low.02269,torontomyst.1312574,2269,0.9263762
Great success tonight upon first attempt..,low,0.631578947368421,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.074397,low.02270,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02010395,2270,0.95303744
But still Tom seemed to hesitate.,low,0.6811594202898551,torontomyst.6.139655,low.02271,torontomyst.1809910,2271,0.90481514
The application is easy to use.,low,0.7794117647058824,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.069981,low.02272,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01903559,2272,0.96894795
And we can get even better.,low,0.711864406779661,cornellmov.6.037064,low.02273,cornellmov.0226935,2273,0.93522507
Shipping was quick and easy too.,low,0.75,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.092465,low.02274,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.02503098,2274,0.9497126
"He appeared startled, but seemingly unharmed.",low,0.6779661016949152,torontofantasy.6.130370,low.02275,torontofantasy.1785565,2275,0.92262113
"It was clean, bright and comfortable.",low,0.7792207792207793,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.172251,low.02276,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04640240,2276,0.9561935
It sends its own valuable signal.,low,0.6470588235294118,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.162917,low.02277,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04433165,2277,0.95449245
Because we're almost out of time.,low,0.6712328767123288,cocaspok2006.6.007604,low.02278,cocaspok2006.0118629,2278,0.9306732
We give you peace of mind.,low,0.6753246753246753,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.060781,low.02279,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01642319,2279,0.9447931
Focus on breathing deeply and slowly.,low,0.8627450980392157,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.046414,low.02280,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01272802,2280,0.96023023
Its improper use cannot be tolerated.,low,0.6774193548387096,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.148035,low.02281,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03992143,2281,0.937404
His eyes were harsh and biting.,low,0.7926829268292683,torontofantasy.6.221613,low.02282,torontofantasy.2974194,2282,0.93198365
And you'd be correct every time.,low,0.8412698412698413,cocaspok1994.6.000833,low.02283,cocaspok1994.0011324,2283,0.95317966
Every piece of them has power.,low,0.7540983606557377,torontofantasy.6.111599,low.02284,torontofantasy.1603313,2284,0.9481601
The damage might already be done.,low,0.72,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.049021,low.02285,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01306639,2285,0.94192547
You still have time to plan.,low,0.65625,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.135172,low.02286,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03651708,2286,0.9444307
The problem must be faced squarely.,low,0.7142857142857143,brown.6.001147,low.02287,brown.022504,2287,0.9384272
Another manner is to time entries.,low,0.576271186440678,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.016226,low.02288,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00430395,2288,0.9634467
The last reported wind was calm.,low,0.7,cocaspok2011.6.004318,low.02289,cocaspok2011.0055041,2289,0.94515574
It must be great being you.,low,0.8571428571428571,cornellmov.6.030832,low.02290,cornellmov.0186949,2290,0.92606276
"Every word still clear, still sure.",low,0.6447368421052632,torontofantasy.6.186732,low.02291,torontofantasy.2534965,2291,0.93182945
We are full of literary people.,low,0.7236842105263158,wsj.6.002551,low.02292,wsj.464077,2292,0.93890876
Possibly the last of his kind.,low,0.68,torontofantasy.6.020194,low.02293,torontofantasy.293030,2293,0.91723675
You have to make it last.,low,0.7321428571428571,torontofantasy.6.126495,low.02294,torontofantasy.1742274,2294,0.9409842
Perhaps something he was searching for.,low,0.6190476190476191,torontofantasy.6.152230,low.02295,torontofantasy.2072037,2295,0.92455053
Economic issues must also be resolved.,low,0.7887323943661971,cocaspok2003.6.003284,low.02296,cocaspok2003.0056281,2296,0.9688179
Many of them have been flawless.,low,0.7377049180327869,cocaspok1992.6.003354,low.02297,cocaspok1992.0043364,2297,0.95429796
Aren't we full of ourselves today?,low,0.8311688311688312,cornellmov.6.018697,low.02298,cornellmov.0108882,2298,0.9172966
I will be worried about them.,low,0.6349206349206349,cocaspok2003.6.000879,low.02299,cocaspok2003.0017228,2299,0.9366376
Don't be afraid to be lazy.,low,0.9322033898305084,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.089546,low.02300,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02438405,2300,0.93179095
I feel very dependent on them.,low,0.76,cocaspok2001.6.005788,low.02301,cocaspok2001.0089720,2301,0.9352683
Now be careful with that bag.,low,0.7037037037037037,cornellmov.6.020406,low.02302,cornellmov.0119558,2302,0.9126506
It is not a serious proposal.,low,0.7049180327868853,cocaspok2011.6.010396,low.02303,cocaspok2011.0132520,2303,0.9562035
Is such that I was stunned.,low,0.6049382716049383,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.054854,low.02304,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01467931,2304,0.9339255
We better get you cleaned up.,low,0.796875,cornellmov.6.023451,low.02305,cornellmov.0139624,2305,0.90469
Perhaps that was what he felt.,low,0.676923076923077,torontoadv.6.004042,low.02306,torontoadv.73905,2306,0.92975235
A festive reception concluded the afternoon.,low,0.7142857142857143,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.146991,low.02307,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04003834,2307,0.97710276
You must stand up to him.,low,0.7435897435897436,torontofantasy.6.041679,low.02308,torontofantasy.602978,2308,0.91192824
Have your job duties expanded substantially?,low,0.7432432432432432,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.111260,low.02309,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03043174,2309,0.96370316
Shouldn't we take every possible precaution?,low,0.7058823529411765,cornellmov.6.037836,low.02310,cornellmov.0231953,2310,0.9629324
Cost effective plans for every business.,low,0.6428571428571429,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.125428,low.02311,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03372128,2311,0.98504966
"Well, then, it must be fought.",low,0.6923076923076923,cornellmov.6.031390,low.02312,cornellmov.0190525,2312,0.9160456
I enjoyed every minute of it.,low,0.6507936507936508,cornellmov.6.005639,low.02313,cornellmov.0032150,2313,0.91009027
Sam's knees threatened to give out.,low,0.8955223880597015,torontofantasy.6.420727,low.02314,torontofantasy.5548548,2314,0.9304786
He was very kind and strong.,low,0.7469879518072289,cornellmov.6.016826,low.02315,cornellmov.0096918,2315,0.95604753
You still have to be involved.,low,0.6233766233766234,cocaspok1997.6.004193,low.02316,cocaspok1997.0049014,2316,0.9321436
That phrase denied is so powerful.,low,0.7027027027027027,cocaspok2009.6.006580,low.02317,cocaspok2009.0083927,2317,0.9257061
Everyone was so impressed by it.,low,0.6333333333333333,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.122945,low.02318,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03323174,2318,0.936128
And you have excellent survival skills.,low,0.7397260273972602,torontomyst.6.152083,low.02319,torontomyst.1954764,2319,0.9542545
Meaning that you are not certain...?,low,0.7088607594936709,torontofantasy.6.465933,low.02320,torontofantasy.6056568,2320,0.9962325
"A small, dimly glowing ball appeared.",low,0.828125,torontofantasy.6.058661,low.02321,torontofantasy.851133,2321,0.9305901
The suspects might be there already.,low,0.6790123456790124,cornellmov.6.015567,low.02322,cornellmov.0088822,2322,0.9227577
And Gerry was definitely physically strong.,low,0.7857142857142857,torontomyst.6.174075,low.02323,torontomyst.2212696,2323,0.9267539
"But still, you can't be sure.",low,0.7435897435897436,cornellmov.6.013729,low.02324,cornellmov.0077970,2324,0.97558415
"When fully prepared, confidence comes easy.",low,0.7818181818181819,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.052911,low.02325,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01437911,2325,0.97060734
Especially coated to ensure long life.,low,0.8148148148148148,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.130273,low.02326,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03489903,2326,0.98122364
"It just makes me weary, somehow.",low,0.7288135593220338,torontofantasy.6.364973,low.02327,torontofantasy.4768863,2327,0.90741515
Only managed to hurt her more.,low,0.75,torontofantasy.6.261741,low.02328,torontofantasy.3464485,2328,0.9285787
"For example, just a quick statistic.",low,0.7966101694915254,cocaspok2005.6.003230,low.02329,cocaspok2005.0053700,2329,0.98710966
We are afraid to touch him!,low,0.7543859649122807,torontomyst.6.066333,low.02330,torontomyst.919290,2330,0.919971
Don't give me any of that.,low,0.7910447761194029,cornellmov.6.037343,low.02331,cornellmov.0228726,2331,0.9478942
"Besides, he had to get away.",low,0.7066666666666667,torontoadv.6.005839,low.02332,torontoadv.100239,2332,0.9116427
Prefer not to break it up.,low,0.7058823529411765,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.083291,low.02333,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02270159,2333,0.9224809
He'd already tried to crawl once.,low,0.8717948717948718,torontofantasy.6.445522,low.02334,torontofantasy.5813353,2334,0.91579247
"So, stay strong for each other!",low,0.704225352112676,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.119376,low.02335,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03196123,2335,0.9249868
Changing the constitution is not easy.,low,0.8481012658227848,cocaspok2006.6.006879,low.02336,cocaspok2006.0108241,2336,0.96034515
It was so peaceful for dining.,low,0.810126582278481,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.021535,low.02337,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00580774,2337,0.9343884
But you see a continuing problem.,low,0.6716417910447762,cocaspok2010.6.012541,low.02338,cocaspok2010.0162204,2338,0.94224435
It was a somewhat startling feeling.,low,0.65,torontofantasy.6.097353,low.02339,torontofantasy.1419950,2339,0.90831095
The excitement was almost too much.,low,0.7794117647058824,torontofantasy.6.138648,low.02340,torontofantasy.1893927,2340,0.9187246
Easy on hand and good distance.,low,0.6458333333333334,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.083128,low.02341,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02250031,2341,0.939921
He was the one who spoke.,low,0.7,torontomyst.6.146929,low.02342,torontomyst.1896212,2342,0.94304246
He was pretty easy to notice.,low,0.6507936507936508,cocaspok2007.6.000422,low.02343,cocaspok2007.0004546,2343,0.9046949
Thoughts of a family soon followed.,low,0.6923076923076923,cocaspok2007.6.006522,low.02344,cocaspok2007.0086259,2344,0.9415874
Sprint would give that to them.,low,0.8727272727272727,cocaspok2004.6.008413,low.02345,cocaspok2004.0126125,2345,0.93166023
They won't treat you any better.,low,0.78125,cocaspok1992.6.003847,low.02346,cocaspok1992.0049357,2346,0.92351913
Maybe you'll be entertaining guests soon.,low,0.76,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.056078,low.02347,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01515699,2347,0.9255891
You have every right to be.,low,0.711864406779661,cornellmov.6.021879,low.02348,cornellmov.0128907,2348,0.95678693
I would give them to her.,low,0.6507936507936508,cocaspok2002.6.000024,low.02349,cocaspok2002.0000424,2349,0.9456367
I want you to throw up.,low,0.8421052631578947,cocaspok2007.6.007417,low.02350,cocaspok2007.0095445,2350,0.9186398
That is another very good additional.,low,0.7358490566037735,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.118999,low.02351,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03244071,2351,0.9548604
"And still it came, pushing forward.",low,0.7205882352941176,torontomyst.6.134997,low.02352,torontomyst.1748416,2352,0.9557156
A couple of really quick questions.,low,0.7647058823529411,cocaspok2004.6.006102,low.02353,cocaspok2004.0094119,2353,0.9786204
It was a pretty weak throw.,low,0.7625,cocaspok2009.6.006505,low.02354,cocaspok2009.0082949,2354,0.8872295
I have all of those already!!!,low,0.7692307692307693,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.028384,low.02355,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00754425,2355,0.954813
And I got a clean record.,low,0.7974683544303798,torontomyst.6.051965,low.02356,torontomyst.727113,2356,0.934141
"Development of quick, responsive, optimised sites.",low,0.7540983606557377,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.170821,low.02357,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.04618051,2357,1.0015962
The clouds forming overhead worried him.,low,0.8260869565217391,torontofantasy.6.429713,low.02358,torontofantasy.5667860,2358,0.9296859
I've been feeling low for weeks.,low,0.782051282051282,cornellmov.6.021919,low.02359,cornellmov.0129182,2359,0.90345854
It's time to change it somewhat.,low,0.703125,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.140567,low.02360,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03759333,2360,0.9276759
And the clothing is somewhat interesting.,low,0.7714285714285715,cocaspok1993.6.001962,low.02361,cocaspok1993.0027171,2361,0.9447377
So its phone number displays unknown.,low,0.7538461538461538,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.020169,low.02362,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00538930,2362,0.9654488
I spoke with him three times.,low,0.7017543859649122,cocaspok2009.6.000437,low.02363,cocaspok2009.0004486,2363,0.9559856
"It would be less civilized, certainly.",low,0.7283950617283951,wsj.6.001790,low.02364,wsj.322895,2364,0.9576346
He forced himself to be deliberate.,low,0.7407407407407407,brown.6.001410,low.02365,brown.026877,2365,0.91814023
